SL Source #1,SEQID,Module,Primary Target,Exposure (s),RA,DEC,PA,,In old sheet?,Notes,,,,,
??,10402003002,B,Crab_bkgd_PA330,19232.5657,83.15,21.5296,330.5875,1,N,GR (from Crab?),,,,,
??,10402003002,B,Crab_bkgd_PA330,19232.5657,83.15,21.5296,330.5875,1,N,GR (from Crab?),,,,,
??,10502003002,B,Crab_bkgd_PA330,28264.7299,83.14,21.5151,329.6554,1,N,SL/GR in both,,,,,
??,10502003002,B,Crab_bkgd_PA330,28264.7299,83.14,21.5151,329.6554,1,N,SL/GR in both,,,,,
??,30001012002,B,NuSTARJ163433m473841,16599.8604,248.67,-47.6363,171.983,1,Y,GR + multiple SL,,,,,
??,30001012002,B,NuSTARJ163433m473841,16599.8604,248.67,-47.6363,171.983,1,Y,GR + multiple SL,,,,,
??,30001016002,B,4U1630m47,22071.8302,248.53,-47.3794,164.6452,0,Y,"Corner, prob GX 340+0?",,,,,
??,30001016002,B,4U1630m47,22071.8302,248.53,-47.3794,164.6452,0,Y,"Corner, prob GX 340+0?",,,,,
??,30001017002,B,CXOUJ163515d1m472304,49833.6938,248.90,-47.3835,210.3881,0,Y,"Strong SL, mismatch (GX 340?)",,,,,
??,30001017002,B,CXOUJ163515d1m472304,49833.6938,248.90,-47.3835,210.3881,0,Y,"Strong SL, mismatch (GX 340?)",,,,,
??,30001033002,A,CXOUJ163750d8m465545,51986.3588,249.49,-46.9014,145.8254,0,Y,"Two SL, one unident",,,,,
??,30001033002,B,CXOUJ163750d8m465545,51986.3588,249.49,-46.9014,145.8254,0,Y,Multiple overlapping,,,,,
??,30001033002,B,CXOUJ163750d8m465545,51986.3588,249.49,-46.9014,145.8254,0,Y,Multiple overlapping,,,,,
??,30002021002,A,HESSJ1640m465,63922.8195,250.10,-46.5762,353.7407,1,Y,"Complex, overlapping SL",,,,,
??,30002021003,A,HESSJ1640m465,21359.2558,250.13,-46.5411,353.7551,1,Y,"Complex, overlapping SL",,,,,
??,30002021005,B,HESSJ1640m465,101762.2264,250.20,-46.5094,161.2653,1,Y,Edge of FoV SL,,,,,
??,30002021005,B,HESSJ1640m465,101762.2264,250.20,-46.5094,161.2653,1,Y,Edge of FoV SL,,,,,
??,30002021007,B,HESSJ1640m465,36987.63,250.20,-46.5144,161.2702,2,Y,"Corner, prob GX 340+0?",,,,,
??,30002021007,B,HESSJ1640m465,36987.63,250.20,-46.5144,161.2702,2,Y,"Corner, prob GX 340+0?",,,,,
??,30002021025,A,HESSJ1640m465,21941.0693,250.16,-46.5397,330.9082,2,Y,Slices of SL,,,,,
??,30002021027,A,HESSJ1640m465,"20,353",250.15,-46.5523,344,X,Y,"Slice on B, corner on A (prob GX 340+0)",,,,,
??,30002021029,A,HESSJ1640m465,22218.0345,250.12,-46.5391,356.5397,1,Y,"Complex, overlapping SL",,,,,
??,30002021044,A,HESSJ1640m465,45896.5526,250.16,-46.5468,335.5907,1,Y,"Corner, but not sure",,,,,
??,30002021046,A,HESSJ1640m465,50350.9695,250.15,-46.5435,353.4082,1,Y,"Complex, overlapping SL",,,,,
??,30101027002,A,4U_1700m37,38024.9868,256.02,-37.8285,158.2795,1,Y,Weird...,,,,,
??,30101049002,A,IGR_J18027m2016,39805.0186,270.65,-20.3166,335.8584,,Y,Ghost rays,,,,,
??,30101049002,B,IGR_J18027m2016,39805.0186,270.65,-20.3166,335.8584,NA,Y,Ghost rays,,,,,
??,30101049002,B,IGR_J18027m2016,39805.0186,270.65,-20.3166,335.8584,NA,Y,Ghost rays,,,,,
??,30102038006,A,SGR_1806m20,31180.2292,272.16,-20.4304,335.8582,1,Y,Overlapping unidentified SL,,,,,
??,30102038006,B,SGR_1806m20,31180.2292,272.16,-20.4304,335.8582,0,Y,Lots,,,,,
??,30102038006,B,SGR_1806m20,31180.2292,272.16,-20.4304,335.8582,0,Y,Lots,,,,,
??,30102038007,B,SGR_1806m20,11017.01,272.14,-20.4009,329.9004,0,Y,"Multiple, one unident",,,,,
??,30102038007,B,SGR_1806m20,11017.01,272.14,-20.4009,329.9004,0,Y,"Multiple, one unident",,,,,
