Go here,ftp://ftp.srl.caltech.edu/pub/,Go to nustar/from_hassif/straylight_triage,,,,"Bad = No stray light, Good = Obvious stray light from this source, Easy = ONLY stray light from this source",
Name,,Sequence ID,Off-axis (deg),Exposure (ks),Checked By:,Good / Bad / Easy,Notes
CYG X-1,,30401003002,2.222334759,35682.7292,Brian,Good,Partial straylight? Maybe not Cyg X-1?
CYG X-1,Cyg_X1_sl_PA165,10402007001,1.872804841,20099.6368,Brian,Easy,Intentional Straylight
CYG X-1,4U_1954p31,90501328002,3.118761027,40791.1944,Brian,Good,"Only partial straylight, good for LC?"
CYG X-1 (Gold / All Exposure in ks),20.0996368,96.5735604,,,,,
,,,,,,,
GRS 1915+105,XTEJ1908p094,80001014002,2.267244239,45146.8332,Ellen,Bad,"Very little SL seen, several bright sources overlapping"
GRS 1915+105,4U_1909p07,30101050002,3.507573031,41343.8497,Ellen,Bad,"Unseen expected SL sources, very faint SL detected in FPMB from GRS1915+105"
GRS 1915+105,SGR_1900p14,30201013002,2.567997393,122616.7124,Ellen,Good,"Overlapping sources expected, only one (very bright) seen slightly overlapping SL source"
GRS 1915+105,W49B,40301001002,2.014931897,125634.0431,Ellen,Good,One large bright SL source not overlapping with second (less bright) source
GRS 1915+105,4U_1907p09,30401018002,1.801190847,78859.776,Ellen,Easy,"One SL source, exprected overlap very very faint"
GRS 1915+105,XTE_J1908p094,90501317002,2.169858943,40802.1183,Ellen,Good,"Two SL sources, one brighter than the other, barely overlap"
GRS 1915+105,78.859776,454.4033327,,,,,
,,,,,,,
4U 1700-377,CXOUJ171405d7m381031,30001130002,2.052455193,81270.2905,Jeremy,Good,"Bright stray light, but a number of overlapping sources"
4U 1700-377,RXJ1713d7m3946_NW_P1,40111001002,2.222181261,49596.616,Jeremy,Good,Appears to be weak stray light from a source not predicted in the lower panels
4U 1700-377,IGRJ17091m3624,80001041002,1.798305037,43293.4287,Jeremy,Good,"Bright source overlaps SL, but some regions are relatively clean for the SL"
4U 1700-377,IGRJ17091m3624,80202014002,1.797284231,20237.9061,Jeremy,Bad,Barely any SL seen and bright source overlapping
4U 1700-377,IGRJ17091m3624,80202014004,1.797961691,20698.1016,Jeremy,Bad,Barely any SL seen and bright source overlapping
4U 1700-377,IGRJ17091m3624,80202014006,1.80656549,48392.9076,Jeremy,Bad,Barely any SL seen and bright source overlapping
4U 1700-377,RXJ1713d7m3946_NW_P2,40111002002,2.301080993,57357.277,Jeremy,Easy,"FPMA has farily isolated SL, significant overlap in FPMB"
4U 1700-377,IGRJ17091m3624,80202015002,1.80551784,39112.71,Jeremy,Good,"Bright source overlaps SL, but some regions are relatively clean for the SL"
4U 1700-377,IGRJ17091m3624,80202015004,1.784546873,36340.1357,Jeremy,Bad,"Barely any SL seen and bright source overlapping, appears to contain a streak"
4U 1700-377,GX_349p2,30201026002,1.456596769,40100.5711,Jeremy,Bad,Very bright source covering a large fraction of the detector
4U 1700-377,HESS_J1713m381,30201031002,2.005059313,78561.3295,Jeremy,Good,"SL doesn't show up where expected, SL from GX 349+2 cleanly detected in FPMB"
4U 1700-377,G346d6m0d2,40201001002,2.651361227,62775.7322,Jeremy,Easy,SL detected cleanly in FPMA
4U 1700-377,IGR_J16597m3704,90301324001,1.152778667,42214.3885,Jeremy,Bad,"Very little SL seen, SL from GX 349+2 cleanly detected in FPMB"
4U 1700-377,290.3901493,619.9513945,,,,,
,,,,,,,
GX 301-2,RT_Cru,30201023002,1.999265188,58215.4033,Brian,Easy,"Second source, but it's way fainter"
GX 301-2,HD110432,30501001002,1.845304443,106452.5025,Brian,Bad,Should have been there but wasn't.
GX 301-2,164.6679058,164.6679058,,,,,
,,,,,,,
CYG X-3,IGRJ20187p4041,60061297002,2.620281249,20967.4844,Ellen,Good,"Two bright sources, no overlap"
CYG X-3,IGRJ20216p4359,60061298002,3.626443586,21100.1787,Ellen,Good,"Somewhat faint point source and very faint lower right SL, not overlapping"
CYG X-3,BDp43_3654,30001044002,3.012700847,105106.1643,Ellen,Easy,SL clearly detected in FPMA
CYG X-3,BDp43_3654,30001044004,3.010937806,98626.663,Ellen,Easy,SL clearly detected in FPMA
CYG X-3,WR140,30101004002,3.659783365,20023.2817,Ellen,Bad,Very little SL seen
CYG X-3,WR140,30202002002,3.668099839,19314.6355,Ellen,Bad,Very little SL seen
CYG X-3,EXO_2030p375,90201029002,3.305611723,56740.9578,Ellen,Good,Some SL detected in FPMA
CYG X-3,WR140,30202002004,3.628946537,52403.9175,Ellen,Bad,No SL seen
CYG X-3,WR_140,30202027002,3.627773979,21835.9902,Ellen,Bad,No SL seen
CYG X-3,WR_140,30202027004,3.62359325,23764.5537,Ellen,Good,Some SL detected in FPMA
CYG X-3,WR_140,30202027006,3.618725431,19463.7983,Ellen,Bad,Very little SL seen
CYG X-3,WR_140,30202027008,3.61573667,25105.1066,Ellen,Bad,Very little SL seen
CYG X-3,WR_140,30302023002,3.662504676,25965.2103,Ellen,Bad,Very little SL seen
CYG X-3,PSR_J2022p3842,30364002002,2.987603648,28000.3462,Ellen,Easy,SL clearly detected in FPMA & FPMB
CYG X-3,WR_140,30302023004,3.64769282,46572.5476,Ellen,Bad,No SL seen
CYG X-3,0,584.9908358,,,,,
,,,,,,,
GS 1826-24,V4641_Sgr,80002012002,2.742763128,24045.4004,Brian,Easy,
GS 1826-24,V4641_Sgr,80002012004,2.782514714,26420.4669,Brian,Easy,
GS 1826-24,PSR_B1821m24,30101053002,1.505825214,131325.4615,Brian,Easy,
GS 1826-24,PSR_B1821m24,30101053004,1.49601895,51524.531,Brian,Easy,
GS 1826-24,V4641_Sgr,90102011002,2.843407691,30652.5136,Brian,Easy,
GS 1826-24,PKS1830m21,60160692002,2.934540476,,Brian,Easy,
GS 1826-24,PSR_B1821m24,10202005002,1.51809811,21878.482,Brian,Easy,
GS 1826-24,PSR_B1821m24,10202005004,1.581169441,156543.2727,Brian,Easy,Found Type I thermonuclear bursts during this observation
GS 1826-24,495.9006884,598.8975513,,,"""Clocked"" burster",,
,,,,,,,
GX 339-4,CXO_J164710d2m455216,80201050002,3.918583816,19143.3456,Ellen,Bad,"Barely any SL seen, bright source overlapping"
GX 339-4,CXO_J164710d2m455216,80201050004,3.906520042,24029.2798,Ellen,Bad,Bright source with ghost rays
GX 339-4,CXO_J164710d2m455216,80201050006,3.919601139,23937.4483,Ellen,Bad,Bright source with ghost rays
GX 339-4,CXO_J164710d2m455216,80201050008,3.944282334,39717.5499,Ellen,Bad,Bright source with ghost rays
GX 339-4,0,106.8276236,,,,,
,,,,,,,
A 0535+262,Crab_nuabs_01,10110001002,3.549787864,21068.3774,Ellen,Good,"SL cleanly detected in FPMB, FPMA has large ghost ray "
A 0535+262,Crab_nuabs_03,10110003002,3.386466422,22827.3824,Ellen,"Good
","No SL in FPMA, Large region in FPMB "
A 0535+262,Crab_nuabs_04,10110004002,2.989275823,20888.1412,Ellen,Good,"Large region of SL in FPMA, none in FPMB"
A 0535+262,Crab_sl_PA150,10311001002,3.453784565,1909.5379,,,
A 0535+262,Crab_bkgd_PA150,10311002002,3.820634785,3091.2614,,,
