??, 30602020001, B, SgrAstar, 13802.8315, 266.4416, -29.0831, 266.4093 GX 3+1, complicated...
??, 90702318002, B, MAXI_J1803m298, 12922.1987, 270.7948, -29.7972, 166.4555 Strong primary
??, 80601302006, B, GX_339m4, 2400.8526, 255.7769, -48.7787, 193.3967 Strong primary
??, 80601302004, B, GX_339m4, 4057.7276, 255.7711, -48.7722, 193.2659 Strong primary
??, 80601302002, B, GX_339m4, 13589.6709, 255.7802, -48.7755, 192.9361 strong primary
??, 90702303013, B, GX_339m4, 20143.4631, 255.7772, -48.7625, 183.8352 strong primary
??, 90702303011, B, GX_339m4, 14753.1363, 255.7671, -48.759, 171.1624 strong primary
??, 90702303007, B, GX_339m4, 23415.9263, 255.7636, -48.7537, 159.8332 strong primary
??, 90702303005, B, GX_339m4, 20947.9282, 255.7674, -48.7473, 152.5741 strong primary
??, 30601013002, B, GX_301m2, 48497.1431, 186.7776, -62.7395, 165.5934 Strong primary
??, 80402308012, B, Swift_J1818d0m1607, 39340.0123, 274.4788, -16.1678, 335.3296 GX 17+2 
??, 90701336002, B, EXO_2030p375, 23486.7686, 308.0343, 37.5922, 318.0537 Cyg X-3 corner
??, 40701001001, B, XMM_0d173m0d413, 121580.413, 266.8128, -29.074, 339.998 GX 3+1, unknown on A
??, 80702318003, B, 4U_1820m30, 17343.7945, 275.8697, -30.403, 333.305 Strong primary
??, 90701330002, B, Her_X1, 23959.6818, 254.4358, 35.2969, 312.3847 Strong primary
??, 30602020004, B, SgrAstar, 21216.7085, 266.3857, -29.0541, 329.524 GX 3+1
??, 90701323002, B, GRS_1915p105, 20442.4056, 288.7586, 10.9697, 56.3602 Strong primary
??, 30602020002, B, SgrAstar, 20154.8636, 266.4124, -29.0425, 301.6656 GX 3+1 on both
??, 30502014010, B, SgrAstar, 55434.8136, 266.4513, -28.9868, 169.2054 Probably GX 3+1 on A?
??, 30502014008, B, SgrAstar, 19241.8615, 266.456, -28.9752, 168.455
??, 30601012002, B, HERCULES_X1, 24305.4294, 254.428, 35.3787, 87.1962 String primary
??, 90702316002, B, MAXI_J1803m298, 26553.9059, 270.8014, -29.7962, 160.7681 Strong primary
??, 80601002004, B, GX_339m4_SLPA193, 3193.6407, 258.5007, -49.2973, 192.8875 GX 339 SL
??, 80601002002, B, GX_339m4_SLPA193, 2498.7022, 258.5104, -49.3027, 192.8553 GX 339 SL
??, 40660007002, B, CXO_J174722d8m280915, 53710.362, 266.8837, -28.0875, 159.6634 GX 3+1 + Unknowns
??, 30602022008, B, SgrAstar, 24908.8667, 266.4576, -28.9731, 159.1846
??, 30602022006, B, SgrAstar, 19950.7597, 266.4607, -28.975, 158.9092
??, 30602022004, B, SgrAstar, 25009.6058, 266.4516, -28.9738, 158.4115
??, 30602022002, B, SgrAstar, 26525.8612, 266.4607, -28.9732, 158.4558
??, 30502014006, B, SgrAstar, 52551.0122, 266.4694, -28.9774, 157.3243
??, 90701310002, B, Swift_J1749d4m2807, 49394.315, 267.4313, -28.0876, 154.0932 GX 3+1 and complex 
??, 90602328006, B, Vela_X1, 8976.9828, 135.5305, -40.5173, 128.2446 Strong primary
??, 90602328004, B, Vela_X1, 9593.0656, 135.532, -40.5071, 125.3512 Strong primary 
??, 30602003002, B, Her_X1, 21788.2532, 254.4088, 35.3207, 358.929 Strong primar7
??, 80702324009, B, V4641_Sgr, 20118.9036, 274.7894, -25.4437, 333.909 GS 1826 in both
??, 90702318003, B, MAXI_J1803m298, 15584.1105, 270.8111, -29.8247, 214.5132 Strong primary
??, 90701317002, B, 1E1740d7m2942, 23606.6595, 266.028, -29.7171, 166.1903 Complicated
??, 30601007004, B, SLX_1735m269, 31858.4818, 264.6178, -26.9555, 159.0849 Couple of sources in both, complicated
??, 90702309004, B, SS_Cyg, 21531.3286, 325.7441, 43.5577, 216.9857 Second source
??, 90702309002, B, SS_Cyg, 20462.615, 325.729, 43.5571, 223.8517 Second source
??, 90702303003, B, GX_339m4, 21925.5468, 255.7586, -48.7416, 145.026 Bright primary
??, 90701302002, B, 2S_1553m542, 28351.9374, 239.5075, -54.369, 146.2605 Bright primary
??, 90602328002, B, Vela_X1, 10728.1747, 135.5327, -40.5029, 123.1335 Bright primary
??, 90601324002, B, 1SXPS_J165423d4m433746, 25654.8443, 253.5673, -43.6651, 325.5479 Lots. Complicated.
