N, 60802002022, B, ESO_253_G003, 3127.5018, 81.373, -45.9687, 142.6595
N, 60802002020, B, ESO_253_G003, 21860.053, 81.3591, -45.9701, 141.9082
N, 60802002018, B, ESO_253_G003, 21767.6952, 81.3604, -45.965, 138.2427
N, 60802002016, B, ESO_253_G003, 25127.9345, 81.3602, -45.9696, 135.408
N, 60802002014, B, ESO_253_G003, 19329.8956, 81.3706, -45.958, 133.5787
N, 60802002012, B, ESO_253_G003, 19200.8188, 81.363, -45.9575, 131.8116
N, 60802002006, B, ESO_253_G003, 21464.8027, 81.3643, -45.951, 126.2392
N, 30901044002, B, 2SXPS_J195654d1p3049, 42526.8254, 299.17, 30.8367, 34.4044
N, 60802002002, B, ESO_253_G003, 22775.0452, 81.3493, -45.9545, 119.1714
N, 80902503002, B, SN2022xxf, 50895.6778, 172.4801, 9.2662, 0.2391
N, 60464082002, B, Mrk141, 17914.4194, 154.7005, 63.982, 51.1731
N, 60802002026, B, ESO_253_G003, 24639.2318, 81.3721, -45.9673, 145.3768
N, 60802002010, B, ESO_253_G003, 18945.3835, 81.3589, -45.961, 131.0337
N, 60802002004, B, ESO_253_G003, 23825.6807, 81.3623, -45.9514, 124.4297
N, 30701015002, B, GX_304m1, 173966.0517, 195.4218, -61.5947, 187.2087
N, 60061218002, B, CGCG041_020, 18800.8921, 180.2822, 6.8328, 174.4423
N, 50801001002, B, NGC_4254_X2, 152086.6926, 184.7876, 14.4241, 175.2281
N, 30801032002, B, IGR_J17062m6143, 62748.5749, 256.4915, -61.7356, 344.4498
N, 60160046002, B, Mrk975, 22147.2515, 18.4778, 13.3138, 130.1917
