??, 80902034001, A, SwiftJ1727m16_SLPA335, 8519.0721, 260.1009, -17.0045, 334.0646
??, 80902012004, A, SwiftJ1727m16_SLPA335, 2735.786, 260.1142, -16.9943, 334.1985
??, 80902012002, A, SwiftJ1727m16_SLPA335, 5508.1736, 260.1142, -16.9898, 334.1999
??, 80902013006, A, SwiftJ1727m16_SLPA340, 13423.0585, 260.0175, -16.8977, 339.1309
??, 80902013004, A, SwiftJ1727m16_SLPA340, 2599.5288, 260.0168, -16.8868, 339.2346
??, 80902013002, A, SwiftJ1727m16_SLPA340, 2545.0318, 260.0211, -16.8877, 339.2513
??, 80901021004, A, SwiftJ1727m16_SLPA340, 4121.6551, 260.0217, -16.8915, 339.2549
??, 80901021002, A, SwiftJ1727m16_SLPA340, 2553.58, 260.0225, -16.8908, 339.2603
??, 10902306002, A, Crab_sl_PA150, 14720.7072, 85.4497, 22.9098, 149.1403
??, 80902033004, A, SwiftJ1727m16_SLPA340, 2493.0148, 260.0206, -16.8852, 339.2768
??, 80902033002, A, SwiftJ1727m16_SLPA340, 1930.6473, 260.0207, -16.8855, 339.2738
??, 90902030002, A, SwiftJ1727m16_SLPA340, 6740.4732, 260.0349, -16.8889, 339.4236
??, 10902336002, A, Sco_X1_SLPA345, 10320.7911, 243.167, -16.1246, 344.2823
??, 10902305002, A, Crab_sl_PA330, 20676.3472, 81.8274, 21.1234, 329.8139
??, 10802306002, A, Crab_sl_PA150, 19739.5782, 85.4622, 22.9181, 149.0795
??, 10802305004, A, Crab_sl_PA330, 27688.2742, 81.8358, 21.1277, 329.8751
??, 10802305002, A, Crab_sl_PA330, 11964.4662, 81.8345, 21.1274, 329.8353
