??, 81160303004, A, GRS_1739m278, 21668.0, 265.666792, -27.74796, 336.962
??, 81160303002, A, GRS_1739m278, 21695.0, 265.666792, -27.74796, 336.6331
??, 91101335002, A, GRS_1739m278, 15802.0, 265.666792, -27.747972, 336.2433
??, 11101709004, A, NGC_1275, 75270.0, 49.95067, 41.51169, 148.0073
??, 51102002002, A, SgrAstar, 19125.0, 266.41683, -29.00781, 221.0861
??, 51102002001, A, SgrAstar, 19289.0, 266.41683, -29.00781, 193.8887
??, 81002343012, A, 4U_1630m472, 18376.0, 248.506708, -47.393, 200.3016
??, 81102303004, A, 4U_1630m472, 23258.0, 248.506708, -47.393, 198.1168
??, 81002343002, A, 4U_1630m472, 27836.0, 248.506708, -47.393, 181.4945
??, 81102302002, A, MAXI_J1744m294, 19242.0, 266.424708, -29.009722, 155.0307
??, 81001323001, A, MAXI_J1744m294, 22678.0, 266.424708, -29.009722, 150.9245
??, 41001003002, A, PSR_1809m2332, 11134.0, 272.43204, -23.51647, 333.644
??, 40901002004, A, GC_BRIDGE, 38671.0, 266.5485, -28.88667, 163.1285
??, 40901002002, A, GC_BRIDGE, 67395.0, 266.5485, -28.88667, 162.3066
??, 91001321002, A, Cyg_X3, 18195.0, 308.107417, 40.957761, 150.4803
??, 91001518002, A, SgrAstar, 21508.0, 266.416833, -29.007825, 158.6938
??, 30902013008, A, SgrAstar, 22296.0, 266.41683, -29.00783, 158.4005
??, 30902013006, A, SgrAstar, 21189.0, 266.41683, -29.00783, 158.313
??, 91002515004, A, SgrAstar, 21453.0, 266.416833, -29.007825, 158.1822
??, 30902013004, A, SgrAstar, 19757.0, 266.41683, -29.00783, 158.0875
??, 30902013002, A, SgrAstar, 20395.0, 266.41683, -29.00783, 157.8351
??, 91001304002, A, GX339m4, 17275.0, 255.70578, -48.78975, 141.2417
??, 80902346001, A, 4U_1630m472, 24361.0, 248.50670833, -47.393, 136.0182
??, 81102328002, A, MAXI_J1744m294, 18148.0, 266.418542, -29.012944, 334.7309
??, 51102002008, A, SgrAstar, 20019.0, 266.41683, -29.00781, 330.9981
??, 51102002006, A, SgrAstar, 20679.0, 266.41683, -29.00781, 322.8084
??, 51102002004, A, SgrAstar, 19192.0, 266.41683, -29.00781, 319.9409
??, 81102303008, A, 4U_1630m472, 29063.0, 248.506708, -47.393, 260.075
??, 81002343016, A, 4U_1630m472, 20552.0, 248.506708, -47.393, 220.7002
??, 81102303006, A, 4U_1630m472, 32001.0, 248.506708, -47.393, 212.2842
??, 81002343014, A, 4U_1630m472, 21842.0, 248.506708, -47.393, 208.5323
??, 91102309004, A, LS_5039, 32465.0, 276.562734, -14.848402, 147.7472
??, 91102309002, A, LS_5039, 33297.0, 276.562734, -14.848402, 148.8418
??, 81002355002, A, 4U_1630m472, 33273.0, 248.506708, -47.393, 179.958
??, 41001001002, A, Terzan_5, 150187.0, 267.02083, -24.78000069, 155.4404
??, 91101304002, A, IGR_J17511m3057, 34119.0, 267.78563, -30.96158, 151.2909
??, 11101709002, A, NGC_1275, 63767.0, 49.95067, 41.51169, 326.2433
??, 50902003007, A, SgrAstar, 27777.0, 266.41683, -29.00781, 304.7269
??, 80902346005, A, 4U_1630m472, 19320.0, 248.50670833, -47.393, 230.3262
??, 91002515002, A, SgrAstar, 20666.0, 266.416833, -29.007825, 157.9456
??, 80902346003, A, 4U_1630m472, 24597.0, 248.50670833, -47.393, 165.6796
??, 91001302001, A, GX339m4, 18636.0, 255.70578, -48.78975, 131.7266
??, 31101013006, A, SgrAstar, 32517.0, 266.41683, -29.00783, 331.8205
??, 31101013004, A, SgrAstar, 20412.0, 266.41683, -29.00783, 331.4359
??, 31101013002, A, SgrAstar, 40865.0, 266.41683, -29.00783, 331.0956
??, 31102017002, A, Her_X1, 27129.0, 254.45575, 35.34236, 53.5264
??, 81002343020, A, 4U_1630m472, 19458.0, 248.506708, -47.393, 245.5297
??, 81002343018, A, 4U_1630m472, 24015.0, 248.506708, -47.393, 228.5834
??, 31001025002, A, 4XMM_J175740d5m2851, 70998.0, 269.4195, -28.85169, 154.5662
??, 91101301002, A, Her_X1, 28353.0, 254.45754, 35.34233, 187.7612
??, 91002349002, A, Vela_X1, 36929.0, 135.52859, -40.55469, 175.3677
??, 91001338002, A, Aql_X1, 19255.0, 287.81686, 0.58496, 334.2982
??, 81002350004, A, Her_X1, 18119.0, 254.45754, 35.34236, 332.9441
??, 81002350002, A, Her_X1, 17953.0, 254.45754, 35.34236, 334.3812
??, 91001329002, A, SgrAstar, 23990.0, 266.4168333, -29.007825, 334.8141
??, 50902003009, A, SgrAstar, 22768.0, 266.41683, -29.00781, 327.2822
??, 81001322001, A, 4U_1820m30, 37661.0, 275.91904, -30.36128, 291.6691
??, 30902018004, A, 4U_1624m49, 18917.0, 247.011771, -49.198503, 180.4204
