??, 81102328002, B, MAXI_J1744m294, 18148.0, 266.418542, -29.012944, 334.7309
??, 31101013006, B, SgrAstar, 32517.0, 266.41683, -29.00783, 331.8205
??, 31101013004, B, SgrAstar, 20412.0, 266.41683, -29.00783, 331.4359
??, 31101013002, B, SgrAstar, 40865.0, 266.41683, -29.00783, 331.0956
??, 51102002008, B, SgrAstar, 20019.0, 266.41683, -29.00781, 330.9981
??, 11101709004, B, NGC_1275, 75270.0, 49.95067, 41.51169, 148.0073
??, 51102002004, B, SgrAstar, 19192.0, 266.41683, -29.00781, 319.9409
??, 51102002002, B, SgrAstar, 19125.0, 266.41683, -29.00781, 221.0861
??, 81102303004, B, 4U_1630m472, 23258.0, 248.506708, -47.393, 198.1168
??, 81002343004, B, 4U_1630m472, 22470.0, 248.506708, -47.393, 183.1047
??, 31002004008, B, SgrAstar, 18905.0, 266.41683, -29.00783, 158.359
??, 31002004006, B, SgrAstar, 24843.0, 266.41683, -29.00783, 158.1603
??, 31002004004, B, SgrAstar, 18946.0, 266.41683, -29.00783, 157.9926
??, 31002004002, B, SgrAstar, 17654.0, 266.41683, -29.00783, 157.7967
??, 41001001002, B, Terzan_5, 150187.0, 267.02083, -24.78000069, 155.4404
??, 81102302002, B, MAXI_J1744m294, 19242.0, 266.424708, -29.009722, 155.0307
??, 81001323003, B, MAXI_J1744m294, 20470.0, 266.424708, -29.009722, 154.1484
??, 11101709002, B, NGC_1275, 63767.0, 49.95067, 41.51169, 326.2433
??, 91001321002, B, Cyg_X3, 18195.0, 308.107417, 40.957761, 150.4803
??, 30901010002, B, GX_13p1, 32177.0, 273.63146, -17.15742, 155.917
??, 91002306002, B, GX339m4, 16394.0, 255.70578, -48.78975, 149.3363
??, 91001304002, B, GX339m4, 17275.0, 255.70578, -48.78975, 141.2417
??, 80902346001, B, 4U_1630m472, 24361.0, 248.50670833, -47.393, 136.0182
??, 51102002006, B, SgrAstar, 20679.0, 266.41683, -29.00781, 322.8084
??, 51102002001, B, SgrAstar, 19289.0, 266.41683, -29.00781, 193.8887
??, 81102303008, B, 4U_1630m472, 29063.0, 248.506708, -47.393, 260.075
??, 81002343020, B, 4U_1630m472, 19458.0, 248.506708, -47.393, 245.5297
??, 31001026002, B, 4XMM_J175328d4m2446, 50500.0, 268.36858, -24.774, 158.173
??, 81002343012, B, 4U_1630m472, 18376.0, 248.506708, -47.393, 200.3016
??, 91102309004, B, LS_5039, 32465.0, 276.562734, -14.848402, 147.7472
??, 91102309002, B, LS_5039, 33297.0, 276.562734, -14.848402, 148.8418
??, 41001006002, B, GC_BRIDGE, 93838.0, 266.5485, -28.88667, 156.9948
??, 81002342002, B, IGR_J17091m3624, 33536.0, 257.281708, -36.407139, 154.198
??, 81001323001, B, MAXI_J1744m294, 22678.0, 266.424708, -29.009722, 150.9245
??, 91001329002, B, SgrAstar, 23990.0, 266.4168333, -29.007825, 334.8141
??, 31001011002, B, 4U_1735m44, 33743.0, 264.74267, -44.45019, 330.2993
??, 50902003009, B, SgrAstar, 22768.0, 266.41683, -29.00781, 327.2822
??, 50902003007, B, SgrAstar, 27777.0, 266.41683, -29.00781, 304.7269
??, 40901002004, B, GC_BRIDGE, 38671.0, 266.5485, -28.88667, 163.1285
??, 91001302001, B, GX339m4, 18636.0, 255.70578, -48.78975, 131.7266
??, 41101007002, B, SNR_G69d7p1d0, 52547.0, 300.675, 32.70999908, 33.9665
??, 31102017002, B, Her_X1, 27129.0, 254.45575, 35.34236, 53.5264
??, 81102303006, B, 4U_1630m472, 32001.0, 248.506708, -47.393, 212.2842
??, 81002343014, B, 4U_1630m472, 21842.0, 248.506708, -47.393, 208.5323
??, 91102310002, B, IGR_J17091m3624, 28270.0, 257.281708, -36.407139, 171.0474
??, 31001025002, B, 4XMM_J175740d5m2851, 70998.0, 269.4195, -28.85169, 154.5662
??, 81002342006, B, IGR_J17091m3624, 32733.0, 257.281708, -36.407139, 155.258
??, 91101301002, B, Her_X1, 28353.0, 254.45754, 35.34233, 187.7612
??, 91002349002, B, Vela_X1, 36929.0, 135.52859, -40.55469, 175.3677
??, 31001014002, B, PSR_J1714m3830, 22548.0, 258.5825, -38.50639, 342.9068
??, 81002350004, B, Her_X1, 18119.0, 254.45754, 35.34236, 332.9441
??, 81002350002, B, Her_X1, 17953.0, 254.45754, 35.34236, 334.3812
??, 81001322001, B, 4U_1820m30, 37661.0, 275.91904, -30.36128, 291.6691
??, 40901002002, B, GC_BRIDGE, 67395.0, 266.5485, -28.88667, 162.3066
??, 91001518002, B, SgrAstar, 21508.0, 266.416833, -29.007825, 158.6938
??, 30902013008, B, SgrAstar, 22296.0, 266.41683, -29.00783, 158.4005
??, 30902013006, B, SgrAstar, 21189.0, 266.41683, -29.00783, 158.313
??, 91002515004, B, SgrAstar, 21453.0, 266.416833, -29.007825, 158.1822
??, 30902013004, B, SgrAstar, 19757.0, 266.41683, -29.00783, 158.0875
??, 91002515002, B, SgrAstar, 20666.0, 266.416833, -29.007825, 157.9456
??, 30902013002, B, SgrAstar, 20395.0, 266.41683, -29.00783, 157.8351
