Y,51002002002, A,NGC_4190_ULX1,51156.0,183.43917,36.63194,193.1159
N,11001407002, B, Kepler,94785.0,262.67162,-21.491957,156.0828
N,11002004008, B, Crab_deepbkgd,33737.0,75.0,13.0,148.2459
Y,11101307002, A,PSR_B1821m24,40784.0,276.13333,-24.86967,151.3095
N,11101307002, B,PSR_B1821m24,40784.0,276.13333,-24.86967,151.3095
N,11101412002, A,G21d5m0d9,103218.0,278.3875,-10.583333,332.9295
N,11101412002, B,G21d5m0d9,103218.0,278.3875,-10.583333,332.9295
N,11101709002, A,NGC_1275,63767.0,49.95067,41.51169,326.2433
N,11101709002, B,NGC_1275,63767.0,49.95067,41.51169,326.2433
N,11101709004, A,NGC_1275,75270.0,49.95067,41.51169,148.0073
N,11101709004, B,NGC_1275,75270.0,49.95067,41.51169,148.0073
N,11102601002, B,3C273,40532.0,187.27792,2.05250001,176.9176
Y,30901001002, A,V750_Ara,95209.0,261.97838,-47.026217,139.6803
Y,30901010002, B,GX_13p1,32177.0,273.63146,-17.15742,155.917
Y,30901024002, A,V2487_Oph,62920.0,262.99921,-19.23225,159.0194
Y,30901024002, B,V2487_Oph,62920.0,262.99921,-19.23225,159.0194
N,30901032002, A, BY_Cam,50394.0,85.70333,60.85872,5.49860001
N,30901032002, B, BY_Cam,50394.0,85.70333,60.85872,5.49860001
Y,30902013002, A, SgrAstar,20395.0,266.41683,-29.00783,157.8351
Y,30902013002, B, SgrAstar,20395.0,266.41683,-29.00783,157.8351
Y,30902013004, A, SgrAstar,19757.0,266.41683,-29.00783,158.0875
Y,30902013004, B, SgrAstar,19757.0,266.41683,-29.00783,158.0875
Y,30902013006, A, SgrAstar,21189.0,266.41683,-29.00783,158.313
Y,30902013006, B, SgrAstar,21189.0,266.41683,-29.00783,158.313
Y,30902013008, A, SgrAstar,22296.0,266.41683,-29.00783,158.4005
Y,30902013008, B, SgrAstar,22296.0,266.41683,-29.00783,158.4005
N,30902017002, A,4U_1916m054,23201.0,289.69946,-5.23808,144.683
N,30902017002, B,4U_1916m054,23201.0,289.69946,-5.23808,144.683
N,30902017004, A,4U_1916m054,22689.0,289.69946,-5.23808,143.3716
N,30902017004, B,4U_1916m054,22689.0,289.69946,-5.23808,143.3716
N,30902018002, A,4U_1624m49,18693.0,247.011771,-49.198503,177.2604
N,30902018002, B,4U_1624m49,18693.0,247.011771,-49.198503,177.2604
N,30902018004, A,4U_1624m49,18917.0,247.011771,-49.198503,180.4204
N,30902018004, B,4U_1624m49,18917.0,247.011771,-49.198503,180.4204
Y,30902031002, A,SS_433,53557.0,287.9565,4.98272,145.6611
N,30902031002, B,SS_433,53557.0,287.9565,4.98272,145.6611
N,30902031004, A,SS_433,29783.0,287.9565,4.98272,144.1703
N,30902031004, B,SS_433,29783.0,287.9565,4.98272,144.1703
Y,30902040004, A,1E_1547d0m5408,27594.0,237.7255,-54.30669,182.7416
Y,30902040004, B,1E_1547d0m5408,27594.0,237.7255,-54.30669,182.7416
N,31001007002, A,2RXP_J130159d6m635806,30427.0,195.49467,-63.96911,354.9133
N,31001007002, B,2RXP_J130159d6m635806,30427.0,195.49467,-63.96911,354.9133
N,31001011002, B,4U_1735m44,33743.0,264.74267,-44.45019,330.2993
Y,31001014002, A,PSR_J1714m3830,22548.0,258.5825,-38.50639,342.9068
Y,31001014002, B,PSR_J1714m3830,22548.0,258.5825,-38.50639,342.9068
Y,31001016002, A,4U_1538m52,55612.0,235.597347,-52.385994,352.4385
Y,31001016002, B,4U_1538m52,55612.0,235.597347,-52.385994,352.4385
Y,31001020002, A,MAXI_J0655m013,84066.0,103.80155,-1.4813,158.4991
Y,31001020002, B,MAXI_J0655m013,84066.0,103.80155,-1.4813,158.4991
N,31001021002, A,4U_1323m62,90113.0,201.65429,-62.13581,5.28590012
N,31001021002, B,4U_1323m62,90113.0,201.65429,-62.13581,5.28590012
Y,31001025002, A,4XMM_J175740d5m2851,70998.0,269.4195,-28.85169,154.5662
Y,31001025002, B,4XMM_J175740d5m2851,70998.0,269.4195,-28.85169,154.5662
Y,31001026002, A,4XMM_J175328d4m2446,50500.0,268.36858,-24.774,158.173
Y,31001026002, B,4XMM_J175328d4m2446,50500.0,268.36858,-24.774,158.173
N,31001027002, A,4XMM_J173058d9m3508,55542.0,262.74542,-35.1365,164.4834
N,31001027002, B,4XMM_J173058d9m3508,55542.0,262.74542,-35.1365,164.4834
Y,31001028002, A,CXOU_J085927d0m434528,59233.0,134.86263,-43.75783,63.8063
Y,31001028002, B,CXOU_J085927d0m434528,59233.0,134.86263,-43.75783,63.8063
Y,31001028004, A,CXOU_J085927d0m434528,49566.0,134.86263,-43.75783,83.5201
N,31001028004, B,CXOU_J085927d0m434528,49566.0,134.86263,-43.75783,83.5201
N,31001038002, A,ERASSJ161534m533233,65983.0,243.88999939,-53.54000092,159.368
N,31001038002, B,ERASSJ161534m533233,65983.0,243.88999939,-53.54000092,159.368
N,31001040002, A,ERASSJ144543m593205,67086.0,221.42999268,-59.535,33.2861
N,31001040002, B,ERASSJ144543m593205,67086.0,221.42999268,-59.535,33.2861
Y,31001041002, A, RT_Cru,90415.0,188.72387,-64.56556,327.9142
Y,31001041002, B, RT_Cru,90415.0,188.72387,-64.56556,327.9142
Y,31002001002, A,WR_140,41515.0,305.116583,43.854528,347.857
Y,31002001002, B,WR_140,41515.0,305.116583,43.854528,347.857
N,31002003002, B,PSR_B1259m63,23975.0,195.698542,-63.835722,353.282
N,31002003004, A,PSR_B1259m63,23712.0,195.698542,-63.835722,355.5835
N,31002003004, B,PSR_B1259m63,23712.0,195.698542,-63.835722,355.5835
